report_year,agency_jurisdiction,population,homicides,rapes,assaults,robberies
1975,"Albuquerque, NM",286238.0,30.0,181.0,1353.0,819.0
1975,"Arlington, TX",112478.0,5.0,28.0,132.0,113.0
1975,"Atlanta, GA",490584.0,185.0,443.0,3518.0,3887.0
1975,"Aurora, CO",116656.0,7.0,44.0,389.0,171.0
1975,"Austin, TX",300400.0,33.0,190.0,463.0,529.0
1975,"Baltimore County, MD",642154.0,25.0,137.0,347.0,750.0
1975,"Baltimore, MD",864100.0,259.0,463.0,6309.0,9055.0
1975,"Boston, MA",616120.0,119.0,453.0,3036.0,7778.0
1975,"Buffalo, NY",422276.0,63.0,192.0,755.0,2340.0
1975,"Charlotte, NC",262103.0,68.0,71.0,976.0,822.0
1975,"Chicago, IL",3150000.0,818.0,1657.0,12514.0,22171.0
1975,"Cincinnati, OH",433367.0,64.0,261.0,1508.0,1745.0
1975,"Cleveland, OH",659931.0,288.0,491.0,2524.0,7100.0
1975,"Columbus, OH",572797.0,62.0,416.0,1100.0,2402.0
1975,"Dallas, TX",864665.0,237.0,547.0,3485.0,3386.0
1975,"Denver, CO",508140.0,74.0,480.0,1838.0,2568.0
1975,"Detroit, MI",1432444.0,633.0,1424.0,7013.0,21317.0
1975,"El Paso, TX",369000.0,21.0,122.0,635.0,840.0
1975,"Fairfax County, VA",487905.0,21.0,104.0,247.0,433.0
1975,"Fort Worth, TX",381275.0,69.0,169.0,494.0,1207.0
1975,"Fresno, CA",176500.0,25.0,84.0,465.0,567.0
1975,"Honolulu, HI",705262.0,58.0,169.0,319.0,1050.0
1975,"Houston, TX",1372342.0,347.0,588.0,1567.0,6422.0
1975,"Indianapolis, IN",503411.0,95.0,351.0,1117.0,3092.0
1975,"Jacksonville, FL",542792.0,91.0,316.0,2445.0,1727.0
1975,"Kansas City, MO",489094.0,114.0,302.0,2575.0,3081.0
1975,"Las Vegas, NV",249186.0,37.0,169.0,1043.0,1345.0
1975,"Long Beach, CA",340758.0,54.0,169.0,1007.0,1959.0
1975,"Los Angeles County, CA",1022888.0,138.0,471.0,6128.0,3055.0
1975,"Los Angeles, CA",2729878.0,554.0,1768.0,13493.0,14590.0
1975,"Memphis, TN",646483.0,120.0,521.0,1805.0,2983.0
1975,"Mesa, AZ",113176.0,2.0,22.0,145.0,98.0
1975,"Miami-Dade County, FL",619795.0,94.0,174.0,4008.0,2426.0
1975,"Miami, FL",350742.0,98.0,178.0,3280.0,2657.0
1975,"Milwaukee, WI",674369.0,70.0,146.0,1020.0,1968.0
1975,"Minneapolis, MN",405378.0,47.0,307.0,1134.0,1838.0
1975,"Montgomery County, MD",496092.0,19.0,84.0,286.0,578.0
1975,"Nashville, TN",449600.0,93.0,110.0,952.0,2003.0
1975,"Nassau County, NY",1100426.0,18.0,33.0,256.0,686.0
1975,"New Orleans, LA",571934.0,158.0,237.0,2002.0,3596.0
1975,"New York City, NY",7422506.0,1645.0,3866.0,43481.0,83190.0
1975,"Newark, NJ",372663.0,122.0,297.0,2444.0,4273.0
1975,"Oakland, CA",337748.0,111.0,316.0,2288.0,3185.0
1975,"Oklahoma City, OK",384081.0,61.0,249.0,1364.0,992.0
1975,"Omaha, NE",391389.0,36.0,178.0,1115.0,1211.0
1975,"Orlando, FL",118457.0,21.0,86.0,705.0,304.0
1975,"Philadelphia, PA",1883253.0,435.0,716.0,4776.0,10405.0
1975,"Phoenix, AZ",668046.0,75.0,311.0,2325.0,1938.0
1975,"Pittsburgh, PA",479083.0,63.0,237.0,1923.0,2744.0
1975,"Portland, OR",373126.0,48.0,287.0,1898.0,1843.0
1975,"Prince George's County, MD",569452.0,46.0,261.0,1693.0,2147.0
1975,"Raleigh, NC",149940.0,17.0,20.0,463.0,221.0
1975,"Sacramento, CA",262994.0,42.0,155.0,1087.0,1128.0
1975,"Salt Lake City, UT",180000.0,11.0,99.0,378.0,582.0
1975,"San Antonio, TX",768814.0,131.0,275.0,2086.0,1730.0
1975,"San Diego, CA",768713.0,64.0,229.0,1367.0,2199.0
1975,"San Francisco, CA",669977.0,138.0,547.0,2765.0,5687.0
1975,"San Jose, CA",549367.0,40.0,234.0,955.0,887.0
1975,"Seattle, WA",503500.0,52.0,324.0,1492.0,2103.0
1975,"St. Louis, MO",569000.0,240.0,462.0,3573.0,6288.0
1975,"Suffolk County, NY",1217700.0,13.0,90.0,330.0,531.0
1975,"Tampa, FL",291103.0,67.0,162.0,1545.0,1394.0
1975,"Tucson, AZ",340500.0,23.0,137.0,943.0,707.0
1975,"Tulsa, OK",347600.0,39.0,136.0,1012.0,581.0
1975,"Virginia Beach, VA",217192.0,22.0,38.0,198.0,194.0
1975,"Washington, DC",716000.0,235.0,520.0,2812.0,9137.0
1975,"Wichita, KS",259240.0,36.0,53.0,408.0,640.0
1976,"Albuquerque, NM",292265.0,28.0,186.0,1335.0,871.0
1976,"Arlington, TX",107470.0,5.0,30.0,140.0,99.0
1976,"Atlanta, GA",457300.0,154.0,477.0,3518.0,3380.0
1976,"Aurora, CO",132000.0,2.0,40.0,338.0,166.0
1976,"Austin, TX",284908.0,24.0,181.0,479.0,518.0
1976,"Baltimore County, MD",642369.0,19.0,142.0,949.0,688.0
1976,"Baltimore, MD",860974.0,200.0,460.0,5776.0,7755.0
1976,"Boston, MA",619437.0,81.0,392.0,3290.0,6125.0
1976,"Buffalo, NY",425101.0,54.0,202.0,898.0,1937.0
1976,"Charlotte, NC",274020.0,52.0,84.0,1028.0,731.0
1976,"Chicago, IL",3134499.0,814.0,1179.0,11070.0,17577.0
1976,"Cincinnati, OH",427045.0,56.0,263.0,1617.0,1525.0
1976,"Cleveland, OH",642298.0,236.0,498.0,2309.0,5453.0
1976,"Columbus, OH",595500.0,53.0,328.0,985.0,1921.0
1976,"Dallas, TX",888450.0,230.0,591.0,3310.0,3113.0
1976,"Denver, CO",523676.0,86.0,383.0,1596.0,2042.0
1976,"Detroit, MI",1334100.0,663.0,1230.0,6593.0,21213.0
1976,"El Paso, TX",361413.0,25.0,118.0,638.0,792.0
1976,"Fairfax County, VA",524272.0,17.0,84.0,270.0,337.0
1976,"Fort Worth, TX",364302.0,70.0,174.0,503.0,985.0
1976,"Fresno, CA",177900.0,28.0,55.0,461.0,723.0
1976,"Honolulu, HI",718424.0,40.0,164.0,380.0,1112.0
1976,"Houston, TX",1477000.0,321.0,690.0,1503.0,5531.0
